t0: uses only x*y+(vw-cbo)
t1: uses x+y+(vw-cbo)+(vw+cbo)

************************************************
*    Row   *     chisq *  t0.chisq * chisq-t0. *
************************************************
*        0 * 4272.8774 * 4296.0902 * -23.21275 *
*        1 * 4414.0298 * 4419.1859 * -5.156097 *
*        2 * 4483.9288 * 4518.8563 * -34.92755 *
*        3 * 4460.4409 * 4472.5443 * -12.10345 *
*        4 * 4552.6023 * 4582.0474 * -29.44509 *
*        5 * 4411.3717 * 4493.2026 * -81.83098 *
*        6 * 4506.0392 * 4526.2115 * -20.17224 *
*        7 * 4537.2383 * 4652.4291 * -115.1908 *
*        8 * 4527.6337 * 4559.4624 * -31.82877 *
*        9 * 4454.4637 * 4493.5524 * -39.08869 *
*       10 * 4529.3812 * 4585.3829 * -56.00170 *
*       11 * 4498.8265 * 4502.6003 * -3.773722 *
*       12 * 4189.1011 * 4197.3664 * -8.265395 *
*       13 * 4312.9076 * 4316.2799 * -3.372304 *
*       14 * 4303.9979 * 4316.1217 * -12.12379 *
*       15 * 4539.1243 * 4498.8995 * 40.224728 *
*       16 *  4450.278 * 4450.3010 * -0.023012 *
*       17 * 4517.5452 * 4513.6998 * 3.8453464 *
*       18 * 4224.0741 * 4262.8458 * -38.77162 *
*       19 * 4491.4612 * 4504.9054 * -13.44419 *
*       20 * 4304.7857 * 4330.5961 * -25.81041 *
*       21 * 4719.1697 * 4732.3959 * -13.22620 *
*       22 * 4484.4224 * 4492.0859 * -7.663516 *
*       23 * 4253.8471 * 4313.8953 * -60.04813 *
*       24 * 4438.1391 * 4465.1954 * -27.05626 *
Type <CR> to continue or q to quit ==> q 
************************************************


This is what I had before when I was doing
t0: x*y + (vw-cbo)
t1: x*y + (vw-cbo) + (vw+cbo)

root [5] t1->Scan("chisq:t0.chisq:chisq-t0.chisq")
************************************************
*    Row   *     chisq *  t0.chisq * chisq-t0. *
************************************************
*        0 * 6428.8081 * 4296.0902 * 2132.7179 *
*        1 * 4409.8951 * 4419.1859 * -9.290842 *
*        2 * 4456.4855 * 4518.8563 * -62.37076 *
*        3 * 4411.1787 * 4472.5443 *  -61.3656 *
*        4 * 4496.8871 * 4582.0474 * -85.16030 *
*        5 * 15113.913 * 4493.2026 * 10620.710 *
*        6 * 4492.9660 * 4526.2115 * -33.24545 *
*        7 * 10838.842 * 4652.4291 * 6186.4131 *
*        8 * 6413.4676 * 4559.4624 * 1854.0051 *
*        9 * 4484.8800 * 4493.5524 * -8.672373 *
*       10 * 4859.2968 * 4585.3829 * 273.91391 *
*       11 * 6590.8993 * 4502.6003 * 2088.2990 *
*       12 * 7801.8796 * 4197.3664 * 3604.5131 *
*       13 * 4302.4299 * 4316.2799 * -13.85007 *
*       14 * 4460.1979 * 4316.1217 * 144.07622 *
*       15 * 4745.7301 * 4498.8995 * 246.83061 *
*       16 * 6041.5225 * 4450.3010 * 1591.2215 *
*       17 * 7867.9160 * 4513.6998 * 3354.2161 *
*       18 * 4470.7119 * 4262.8458 * 207.86613 *
*       19 * 11712.007 * 4504.9054 * 7207.1015 *
*       20 * 4326.1276 * 4330.5961 * -4.468555 *
*       21 * 7782.3717 * 4732.3959 * 3049.9757 *
*       22 * 6155.1745 * 4492.0859 * 1663.0886 *
*       23 * 4299.8622 * 4313.8953 * -14.03301 *
*       24 * 4415.5911 * 4465.1954 * -49.60430 *

CORRECTED:
************************************************
*    Row   *     chisq *  t0.chisq * chisq-t0. *
************************************************
*        0 * 4257.9796 * 4296.0902 * -38.11055 *
*        1 * 4364.7215 * 4419.1859 * -54.46448 *
*        2 * 4518.8563 * 4518.8563 * 5.594e-07 *
*        3 * 4472.5443 * 4472.5443 * 4.657e-06 *
*        4 * 4573.3650 * 4582.0474 * -8.682404 *
*        5 * 4493.2026 * 4493.2026 * 9.793e-07 *
*        6 * 4506.1691 * 4526.2115 * -20.04239 *
*        7 * 4624.1163 * 4652.4291 * -28.31287 *
*        8 * 4555.2922 * 4559.4624 * -4.170192 *
*        9 * 4454.7239 * 4493.5524 * -38.82845 *
*       10 * 4529.4390 * 4585.3829 * -55.94385 *
*       11 * 4387.3548 * 4502.6003 * -115.2455 *
*       12 * 4109.9108 * 4197.3664 * -87.45568 *
*       13 * 4152.3691 * 4316.2799 * -163.9108 *
*       14 * 4316.1217 * 4316.1217 * 9.759e-07 *
*       15 * 4498.8995 * 4498.8995 * 7.165e-07 *
*       16 * 4434.6482 * 4450.3010 * -15.65274 *
*       17 * 4500.1937 * 4513.6998 * -13.50612 *
*       18 * 4245.3964 * 4262.8458 * -17.44936 *
*       19 * 4491.7437 * 4504.9054 * -13.16166 *
*       20 * 4344.9832 * 4330.5961 * 14.387093 *
*       21 * 4719.1055 * 4732.3959 * -13.29038 *
*       22 * 4477.2443 * 4492.0859 * -14.84161 *
*       23 * 4306.6132 * 4313.8953 * -7.282053 *
*       24 * 4438.9312 * 4465.1954 * -26.26417 *
************************************************
