root [6] t1->Scan("calo:R:nom.R:R-nom.R")
************************************************************
*    Row   *      calo *         R *     nom.R *   R-nom.R *
************************************************************
*        0 *         0 * -60.78288 * -60.78216 * -0.000719 *
*        1 *         1 * -60.58367 * -60.91835 * 0.3346877 *
*        2 *         2 * -59.67413 * -59.96352 * 0.2893975 *
*        3 *         3 * -60.92194 * -60.88835 * -0.033591 *
*        4 *         4 * -59.17081 * -59.21986 * 0.0490450 *
*        5 *         5 * -62.34113 * -62.27138 * -0.069756 *
*        6 *         6 * -61.41267 * -61.39976 * -0.012908 *
*        7 *         7 * -61.66130 * -61.39808 * -0.263221 *
*        8 *         8 * -61.20211 * -61.18485 * -0.017268 *
*        9 *         9 * -59.97648 * -59.91018 * -0.066298 *
*       10 *        10 * -61.21239 * -61.29257 * 0.0801767 *
*       11 *        11 * -61.64021 * -61.62913 * -0.011080 *
*       12 *        12 * -60.17530 * -59.90764 * -0.267662 *
*       13 *        13 * -61.01567 * -60.68933 * -0.326339 *
*       14 *        14 * -60.56074 * -60.49286 * -0.067881 *
*       15 *        15 * -60.16308 * -60.22126 * 0.0581814 *
*       16 *        16 * -62.55765 * -62.68933 * 0.1316835 *
*       17 *        17 * -60.84664 * -60.77591 * -0.070722 *
*       18 *        18 * -60.89245 * -60.85842 * -0.034027 *
*       19 *        19 * -60.45854 * -60.42797 * -0.030568 *
*       20 *        20 * -60.81465 * -60.78298 * -0.031674 *
*       21 *        21 * -59.24906 * -59.30322 * 0.0541632 *
*       22 *        22 * -61.32485 * -61.26384 * -0.061007 *
*       23 *        23 * -61.39526 * -61.32693 * -0.068325 *
*       24 *        24 * -60.84884 * -61.07057 * 0.2217220 *
Type <CR> to continue or q to quit ==> 
************************************************************
(long long) 25
root [7] t1->Scan("calo:chisq:nom.chisq:chisq-nom.chisq")
************************************************************
*    Row   *      calo *     chisq * nom.chisq * chisq-nom *
************************************************************
*        0 *         0 * 4339.7754 * 4296.0902 * 43.685203 *
*        1 *         1 * 4593.7233 * 4419.1859 * 174.53730 *
*        2 *         2 * 4606.6687 * 4518.8563 *  87.81234 *
*        3 *         3 * 4407.7344 * 4472.5443 * -64.80991 *
*        4 *         4 * 4566.8231 * 4582.0474 * -15.22426 *
*        5 *         5 * 4423.1588 * 4493.2026 * -70.04388 *
*        6 *         6 * 4517.3508 * 4526.2115 * -8.860699 *
*        7 *         7 * 4533.1603 * 4652.4291 * -119.2688 *
*        8 *         8 * 4306.1942 * 4559.4624 * -253.2682 *
*        9 *         9 * 4485.3948 * 4493.5524 * -8.157553 *
*       10 *        10 * 4436.4422 * 4585.3829 * -148.9406 *
*       11 *        11 * 4269.4303 * 4502.6003 * -233.1699 *
*       12 *        12 * 4232.3724 * 4197.3664 * 35.005963 *
*       13 *        13 * 4399.2329 * 4316.2799 * 82.952955 *
*       14 *        14 * 4304.9310 * 4316.1217 * -11.19066 *
*       15 *        15 * 4476.0706 * 4498.8995 * -22.82888 *
*       16 *        16 * 4346.8723 * 4450.3010 * -103.4286 *
*       17 *        17 * 4462.8003 * 4513.6998 * -50.89954 *
*       18 *        18 * 4302.3019 * 4262.8458 * 39.456129 *
*       19 *        19 * 4680.2508 * 4504.9054 * 175.34537 *
*       20 *        20 * 4349.7058 * 4330.5961 * 19.109649 *
*       21 *        21 * 4618.9832 * 4732.3959 * -113.4127 *
*       22 *        22 * 4424.5581 * 4492.0859 * -67.52776 *
*       23 *        23 * 4287.5180 * 4313.8953 * -26.37724 *
*       24 *        24 * 4574.9251 * 4465.1954 * 109.72967 *
Type <CR> to continue or q to quit ==>     
************************************************************
(long long) 25
root [8] t1->Scan("calo:rchisq:nom.rchisq:rchisq-nom.rchisq")
************************************************************
*    Row   *      calo *    rchisq * nom.rchis * rchisq-no *
************************************************************
*        0 *         0 * 1.0464855 * 1.0409717 * 0.0055138 *
*        1 *         1 * 1.1077220 * 1.0707986 * 0.0369233 *
*        2 *         2 * 1.1108436 * 1.0949494 * 0.0158942 *
*        3 *         3 * 1.0628730 * 1.0837277 * -0.020854 *
*        4 *         4 * 1.1012353 * 1.1102610 * -0.009025 *
*        5 *         5 * 1.0665924 * 1.0887333 * -0.022140 *
*        6 *         6 * 1.0893057 * 1.0967316 * -0.007425 *
*        7 *         7 *  1.093118 * 1.1273150 * -0.034197 *
*        8 *         8 * 1.0383878 * 1.1047885 * -0.066400 *
*        9 *         9 * 1.0815999 * 1.0888181 * -0.007218 *
*       10 *        10 * 1.0697955 * 1.1110692 * -0.041273 *
*       11 *        11 * 1.0295226 * 1.0910105 * -0.061487 *
*       12 *        12 * 1.0205865 * 1.0170502 * 0.0035362 *
*       13 *        13 * 1.0608229 * 1.0458638 * 0.0149591 *
*       14 *        14 * 1.0380832 * 1.0458254 * -0.007742 *
*       15 *        15 * 1.0793515 * 1.0901137 * -0.010762 *
*       16 *        16 * 1.0481968 * 1.0783380 * -0.030141 *
*       17 *        17 * 1.0761515 * 1.0936999 * -0.017548 *
*       18 *        18 * 1.0374492 * 1.0329163 * 0.0045328 *
*       19 *        19 * 1.1285871 * 1.0915690 * 0.0370180 *
*       20 *        20 * 1.0488801 * 1.0493327 * -0.000452 *
*       21 *        21 * 1.1138131 * 1.1466915 * -0.032878 *
*       22 *        22 * 1.0669298 * 1.0884627 * -0.021532 *
*       23 *        23 * 1.0338842 *  1.045286 * -0.011401 *
*       24 *        24 * 1.1031890 * 1.0819470 * 0.0212420 *
Type <CR> to continue or q to quit ==>   
************************************************************
